Site,Type,x-coord,y-coord,bio1.Historical,bio2.Historical,bio3.Historical,bio4.Historical,bio5.Historical,bio6.Historical,bio7.Historical,bio8.Historical,bio9.Historical,bio10.Historical,bio11.Historical,bio12.Historical,bio13.Historical,bio14.Historical,bio15.Historical,bio16.Historical,bio17.Historical,bio18.Historical,bio19.Historical,bio1.2050s,bio2.2050s,bio3.2050s,bio4.2050s,bio5.2050s,bio6.2050s,bio7.2050s,bio8.2050s,bio9.2050s,bio10.2050s,bio11.2050s,bio12.2050s,bio13.2050s,bio14.2050s,bio15.2050s,bio16.2050s,bio17.2050s,bio18.2050s,bio19.2050s,bio1.ExpYears,bio2.ExpYears,bio3.ExpYears,bio4.ExpYears,bio5.ExpYears,bio6.ExpYears,bio7.ExpYears,bio8.ExpYears,bio9.ExpYears,bio10.ExpYears,bio11.ExpYears,bio12.ExpYears,bio13.ExpYears,bio14.ExpYears,bio15.ExpYears,bio16.ExpYears,bio17.ExpYears,bio18.ExpYears,bio19.ExpYears
TARTU,Garden,26.71759,58.386537,50,71,22,8583,216,-98,314,146,-54,160,-60,598,78,25,34,217,86,210,98,92,69,23,8234,254,-40,294,186,29,201,-7,597,63,30,22,181,100,175,121,7.034788178,7.196525121,23.0485088,812.4117568,22.92983871,-8.293548387,31.2233871,17.04553315,-2.35976306,17.04553315,-2.35976306,657.725,106.725,22,43.84550048,266.725,107.05,266.725,107.05
HELSINKI,Garden,24.955695,60.202457,49,65,21,8110,208,-90,298,143,-19,157,-51,650,78,33,30,221,104,197,135,92,63,23,7692,244,-28,272,93,28,197,2,686,77,37,25,215,117,188,164,6.904792529,5.448506935,19.10621475,770.2688134,21.26532258,-7.251612903,28.51693548,16.49973118,5.249789427,16.49973118,-1.971945475,625.5,82.675,24.15,34.47144457,215.75,103.125,215.75,115.4
RAUMA,Garden,21.497783,61.130977,45,76,24,7871,209,-96,305,137,-19,150,-52,614,75,33,28,204,102,181,137,89,73,25,7799,250,-39,288,86,80,195,-4,659,73,37,26,212,115,165,167,6.958067073,3.370647144,13.27532225,726.0118748,19.37580645,-6.014516129,25.39032258,15.84587366,1.189571161,16.04517921,-1.556602674,562.3,73.175,24.425,33.39863665,184.025,85.35,148.6,97.675
OULU,Garden,25.465251,65.063639,19,82,23,9209,202,-148,350,124,-53,141,-98,460,66,21,36,175,69,169,82,62,76,23,8451,234,-88,322,161,-6,177,-40,508,69,24,31,179,76,176,101,4.018034492,6.152281834,18.69078174,875.915852,20.46693548,-12.44919355,32.91612903,14.90367384,-1.725021529,14.90367384,-5.899658626,626.55,89.55,21.525,40.90924741,244.125,82.975,244.125,136.975
SVANVIK,Garden,30.039619,69.454245,9,61,23,6737,145,-113,258,94,-48,99,-73,462,64,18,38,179,63,176,94,53,58,23,6397,186,-61,246,135,1,140,-22,522,75,19,41,204,66,203,93,2.04623641,4.988807431,15.84356823,861.8017789,17.32983871,-14.15806452,31.48790323,12.73085573,-7.342809735,12.73085573,-7.978159197,565.275,73.75,20.125,36.64987629,182,94.475,182,127.35
PAUHUNLAHTI   ,Southern variety; sampling site,25.293,65.38,17,82,23,9322,202,-151,353,124,-56,141,-101,473,65,23,33,175,73,167,87,61,77,23,8548,234,-90,324,161,-8,177,-42,525,68,26,29,179,80,175,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PARTALAHTI ,Southern variety; sampling site,25.437,65.376,16,82,23,9331,201,-153,354,123,-57,140,-102,474,66,23,34,176,73,168,87,60,77,23,8573,233,-92,325,119,-9,176,-43,526,70,26,30,180,81,177,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRAAVA ,Southern variety; sampling site,25.307,65.284,19,82,23,9253,203,-148,351,125,-54,142,-98,466,65,22,35,174,71,167,85,62,76,23,8488,235,-87,322,162,-6,177,-39,516,68,25,30,178,78,174,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HALOSENNIEMI    ,Southern variety; sampling site,25.333,65.258,19,82,23,9253,203,-148,351,125,-54,142,-98,466,65,22,35,174,71,167,85,62,76,23,8488,235,-87,322,162,-6,177,-39,516,68,25,30,178,78,174,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VILLENNIEMI,Southern variety; sampling site,25.286,65.226,19,82,23,9253,203,-148,351,125,-54,142,-98,466,65,22,35,174,71,167,85,62,76,23,8488,235,-87,322,162,-6,177,-39,516,68,25,30,178,78,174,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SVARTAKSLA,Northern variety; sampling site,30.13,69.717,10,58,23,6331,138,-105,243,91,-10,95,-65,480,62,21,32,177,72,171,102,53,55,23,6147,180,-55,235,133,2,137,-18,536,75,24,37,204,76,198,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROPELV,Northern variety; sampling site,30.196,69.774,6,57,23,6289,133,-107,240,87,-14,90,-69,503,63,23,31,180,78,175,110,49,54,23,6093,175,-57,232,129,-1,132,-21,562,76,26,35,208,84,202,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JAKSOBSNES,Northern variety; sampling site,30.129,69.728,10,58,23,6331,138,-105,243,91,-10,95,-65,480,62,21,32,177,72,171,102,53,55,23,6147,180,-55,235,133,2,137,-18,536,75,24,37,204,76,198,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LANABUKT,Northern variety; sampling site,30.465,69.742,7,56,23,6245,132,-105,237,87,-13,90,-68,507,62,24,29,178,80,172,113,50,53,23,6064,174,-55,230,129,0,133,-20,569,75,27,33,206,86,200,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STORBUKT,Northern variety; sampling site,30.453,69.683,7,56,23,6245,132,-105,237,87,-13,90,-68,507,62,24,29,178,80,172,113,50,53,23,6064,174,-55,230,129,0,133,-20,569,75,27,33,206,86,200,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JARFJORDBOTN,Northern variety; sampling site,30.301,69.664,9,59,23,6488,140,-108,248,91,-10,96,-69,479,63,21,34,178,70,173,102,53,56,23,6221,181,-57,238,133,1,137,-20,539,75,22,38,204,74,201,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
